"id","category","toy_name_pt","toy_name_en","recommended_age_hint","image_type","source_page_url","image_url","author","license","attribution_required","attribution_text","local_asset_path","visual_notes","approved_for_app"
"maos_quebra_cabeca_madeira","Mãos","quebra-cabeça de madeira","wooden puzzle","2a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/maos_quebra_cabeca_madeira.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"maos_blocos_grandes","Mãos","blocos grandes","large building blocks","12m+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/maos_blocos_grandes.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"maos_cubos_montar_sem_marca","Mãos","cubos de montar sem marca","unbranded interlocking cubes","2a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/maos_cubos_montar_sem_marca.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"maos_brinquedo_martelar","Mãos","brinquedo de martelar","pounding bench toy","18m+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/maos_brinquedo_martelar.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"maos_parafusos_porcas_grandes","Mãos","parafusos e porcas grandes","large toy nuts and bolts","2a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/maos_parafusos_porcas_grandes.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"maos_alinhavo_pecas_grandes","Mãos","alinhavo com peças grandes","large lacing pieces","3a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/maos_alinhavo_pecas_grandes.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"maos_painel_fechos_busy_board","Mãos","painel de fechos/busy board","busy board with latches","2a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/maos_painel_fechos_busy_board.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"maos_copos_medidores_empilhar","Mãos","copos medidores de empilhar","stacking measuring cups","12m+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/maos_copos_medidores_empilhar.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"imaginacao_cozinha_brinquedo","Imaginação","cozinha de brinquedo","toy kitchen","3a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/imaginacao_cozinha_brinquedo.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"imaginacao_comidinhas_madeira","Imaginação","comidinhas de madeira","wooden play food","2a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/imaginacao_comidinhas_madeira.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"imaginacao_animais_fazenda","Imaginação","animais de fazenda","farm animal toys","2a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/imaginacao_animais_fazenda.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"imaginacao_bonecos_familia_simples","Imaginação","bonecos família simples","simple family dolls","3a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/imaginacao_bonecos_familia_simples.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"imaginacao_carrinhos_madeira","Imaginação","carrinhos de madeira","wooden toy cars","2a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/imaginacao_carrinhos_madeira.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"imaginacao_trem_madeira","Imaginação","trem de madeira","wooden train","3a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/imaginacao_trem_madeira.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"imaginacao_casinha_bonecos","Imaginação","casinha de bonecos","dollhouse","3a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/imaginacao_casinha_bonecos.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"imaginacao_kit_medico_infantil","Imaginação","kit médico infantil","child doctor play kit","3a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/imaginacao_kit_medico_infantil.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"imaginacao_fantasias_simples","Imaginação","fantasias simples","simple dress-up costumes","3a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/imaginacao_fantasias_simples.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"imaginacao_fantoches_animais","Imaginação","fantoches de animais","animal hand puppets","2a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/imaginacao_fantoches_animais.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"comunicacao_livro_cartonado","Comunicação","livro cartonado","board book","6m+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/comunicacao_livro_cartonado.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"comunicacao_cartoes_figuras","Comunicação","cartões de figuras","picture cards","12m+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/comunicacao_cartoes_figuras.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"comunicacao_telefone_brinquedo_simples","Comunicação","telefone de brinquedo simples","simple toy phone","18m+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/comunicacao_telefone_brinquedo_simples.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"comunicacao_fantoches_historia","Comunicação","fantoches para história","storytelling puppets","2a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/comunicacao_fantoches_historia.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"comunicacao_jogo_memoria_imagens","Comunicação","jogo da memória com imagens","picture memory game","3a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/comunicacao_jogo_memoria_imagens.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"comunicacao_letras_grandes_madeira_espuma","Comunicação","letras grandes de madeira ou espuma","large wooden or foam letters","3a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/comunicacao_letras_grandes_madeira_espuma.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"comunicacao_dados_historias","Comunicação","dados de histórias","story dice","3a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/comunicacao_dados_historias.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"comunicacao_cartoes_emocoes","Comunicação","cartões de emoções","emotion cards","3a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/comunicacao_cartoes_emocoes.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"comunicacao_mini_quadro_branco","Comunicação","mini quadro branco","mini whiteboard","3a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/comunicacao_mini_quadro_branco.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"comunicacao_sequencia_historias_ilustradas","Comunicação","sequência de histórias ilustradas","illustrated story sequencing cards","3a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/comunicacao_sequencia_historias_ilustradas.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"exploracao_lupa_infantil","Exploração","lupa infantil","child magnifying glass","3a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/exploracao_lupa_infantil.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"exploracao_instrumentos_musicais_simples","Exploração","instrumentos musicais simples","simple musical instruments","12m+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/exploracao_instrumentos_musicais_simples.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"exploracao_mesa_areia_agua","Exploração","mesa de areia e água","sand and water table","18m+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/exploracao_mesa_areia_agua.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"exploracao_kit_jardinagem_infantil","Exploração","kit jardinagem infantil","child gardening kit","3a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/exploracao_kit_jardinagem_infantil.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"exploracao_animais_insetos_exploracao","Exploração","animais/insetos de exploração","exploration animal and insect figures","3a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/exploracao_animais_insetos_exploracao.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"exploracao_garrafas_sensoriais_seguras","Exploração","garrafas sensoriais seguras","safe sensory bottles","6m+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/exploracao_garrafas_sensoriais_seguras.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"exploracao_tubos_observacao_transparentes","Exploração","tubos de observação transparentes","clear observation tubes","2a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/exploracao_tubos_observacao_transparentes.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"exploracao_pedras_formas_sensoriais_grandes","Exploração","pedras/formas sensoriais grandes","large sensory stones and shapes","12m+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/exploracao_pedras_formas_sensoriais_grandes.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"exploracao_circuito_bolinhas_grandes","Exploração","circuito de bolinhas grandes","large ball run toy","3a+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/exploracao_circuito_bolinhas_grandes.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
"exploracao_brinquedo_causa_efeito","Exploração","brinquedo causa-e-efeito","cause and effect toy","12m+","ai_generated","","","","AI generated image","no","Imagem gerada por IA; sem fonte externa.","assets/demo_toys_v2/exploracao_brinquedo_causa_efeito.png","PNG quadrado 1254x1254, objeto isolado em fundo claro, sem marca aparente","yes"
